"Find Your Product Questionnaire","Questionario Trova il tuo prodotto"
"Results","Risultati"
"Question","Domanda"
"Show my products","Mostra i miei prodotti",
"Sorry, no products found","Spiacenti, non abbiamo trovato alcun prodotto"
"Your product is","Il tuo prodotto é"
"Your products are","I tuoi prodotti sono"
"You are looking for","Stai cercando prodotti per"
"Restart the Questionnaire","Ricomincia il Questionario"
"Next","Avanti"
"Back","Indietro"
"You did not select any filter","Non hai selezionato alcun filtro"
